# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 03 16:57:09 AEDT 2020 [seed=1578031026503]
# BMtest_sigma1_1corr0_0D1.24N9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	clock.rate	meanRate	LOCATIONS.precision.col11	LOCATIONS.precision.col12	LOCATIONS.precision.col21	LOCATIONS.precision.col22	correlation	LOCATIONS.varCovar.LOCATIONS.precision.col11	LOCATIONS.varCovar.LOCATIONS.precision.col12	LOCATIONS.varCovar.LOCATIONS.precision.col21	LOCATIONS.varCovar.LOCATIONS.precision.col22	LOCATIONS.diffusionRate	LOCATIONS.lambda	treeLikelihood	branchRates	LOCATIONS.traitLikelihood	coalescent
17000	-15338.48235224884	-44.594111953799256	-15293.88824029504	3.5555532707371666	3.5555532707371666	24.627558701514925	177.08602967463662	1.920174778296012	0.010272833775788985	0.010272833775788987	0.0787095640052276	-0.06911278240579956	-0.06911278240579956	0.11001531075474337	0.7427079271044845	28.334886717570427	17.800275677719625	17.800275677719625	20.271965459874185	0.6954395777760183	0.43631955426086655	-15221.818314444965	0.0	-72.06992585007472	-39.209798372128695
18000	-15329.57695704787	-44.209047032493196	-15285.367910015377	3.576718369962074	3.576718369962074	23.53213424368686	117.61172591981898	2.01140846591033	0.010466665166638198	0.010466665166638198	0.0753594269799382	-0.05652368388878611	-0.05652368388878611	0.11902867543614618	0.596809688519163	20.61100486861124	9.787640831545602	9.7876408315456	13.049238015023557	0.9620840834475263	0.8749892854763206	-15213.679849191667	0.0	-71.68806082370918	-38.29124908953034
19000	-15331.716535223231	-41.747582083080886	-15289.968953140151	3.3789025510957655	3.3789025510957655	22.98421369645515	148.51781287951223	2.079137589549413	0.01072494040475358	0.01072494040475358	0.07433212624910465	-0.0504992491831426	-0.0504992491831426	0.06497074136525732	0.7266708381749849	28.505451244337653	22.15618684990864	22.15618684990864	32.61269236208617	0.9715836430226646	0.7278424229288712	-15216.025677529171	0.0	-73.94327561097916	-36.51507104945576
20000	-15335.403601598426	-44.716092278234655	-15290.68750932019	3.4431552063935524	3.4431552063935524	23.522520661438588	139.67010218786655	2.1912435296461585	0.01057562155434357	0.010575621554343573	0.08274520974739356	-0.011570057378450765	-0.011570057378450765	0.09740616288892938	0.128875648704978	12.289405654417045	1.4597549513453103	1.4597549513453105	10.43968285358992	0.926019837546211	0.8566121773140003	-15218.395694432991	0.0	-72.29181488719912	-38.35477011916442
21000	-15330.700834621439	-42.852103433651266	-15287.848731187787	3.5256943236474965	3.5256943236474965	24.995259210671602	88.03640060560934	1.7529760273693205	0.009208037410333186	0.009208037410333186	0.05170598875878242	-0.04190959568469766	-0.04190959568469766	0.12235700347655948	0.5269005247262526	26.772932426582546	9.17023743153992	9.17023743153992	11.313785919526213	0.517604807059288	0.2714195962873137	-15216.395872982344	0.0	-71.45285820544227	-38.31816509599147
22000	-15338.862086196501	-46.47792302840709	-15292.384163168093	3.36164895385624	3.36164895385624	24.093619387440228	86.62764257921981	1.3899440910209269	0.010520791188385491	0.010520791188385486	0.05926485403605479	-0.01708982618819886	-0.01708982618819886	0.07896859652094573	0.24981115448121732	17.996488868219412	3.8946730764570274	3.894673076457027	13.506119304698707	0.5368419140390345	0.27119451910155784	-15220.79827916895	0.0	-71.58588399914316	-42.2505027201221
23000	-15329.602376384175	-44.16296677144113	-15285.439409612734	3.6888137003774832	3.6888137003774832	24.465762763254872	98.08397738369115	1.864701687823274	0.010330087087508346	0.010330087087508343	0.05392913752859692	-0.043313321625222084	-0.043313321625222084	0.09669699299091572	0.5997955902186204	28.96210742768335	12.972948125463763	12.97294812546376	16.152534078616778	0.8613194309613558	0.7779834980687379	-15213.66007896907	0.0	-71.77933064366528	-39.35944345264044
24000	-15331.678193993019	-45.428419394014945	-15286.249774599004	3.791320232139671	3.791320232139671	24.73665293162973	30.360850469761413	1.3677225720927206	0.010050083650295848	0.010050083650295848	0.09010258356863321	-0.03104159565178471	-0.03104159565178471	0.13213977219844775	0.2844845193698876	12.075770400866897	2.8367778733911257	2.8367778733911257	8.234145508179697	0.6756340335688489	0.5909291954585604	-15212.999271780427	0.0	-73.25050281857742	-41.529266738053124
25000	-15326.196230269847	-43.523471674584194	-15282.672758595263	3.787802524429567	3.787802524429567	24.454593727795174	77.3794309865314	1.6170633467168367	0.009719595722672319	0.009719595722672317	0.06260723302983967	-0.0250784361796887	-0.0250784361796887	0.11331838980519376	0.29774055878650774	17.526291276267585	3.878734757828038	3.878734757828038	9.683093838241593	0.7017017480055573	0.6170882616347783	-15211.136884908621	0.0	-71.53587368664134	-39.19016400469235
26000	-15327.412830256184	-42.52865458443849	-15284.884175671745	3.6758777617203737	3.6758777617203737	24.156287378183848	67.3502890701327	1.5757910423612047	0.009808013890443735	0.009808013890443732	0.07536241298082935	-0.06726682147762647	-0.06726682147762647	0.12649028397396925	0.6889614548040834	25.258715097209862	13.432442602057094	13.432442602057094	15.049042967701588	0.6310892653176832	0.40088872716211765	-15213.51140511198	0.0	-71.37277055976473	-38.45811330400079
