# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 03 16:02:01 AEDT 2020 [seed=1578027717651]
# -overwrite BMtest_sigma1_1corr0_0D1.29N7.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	clock.rate	meanRate	LOCATIONS.precision.col11	LOCATIONS.precision.col12	LOCATIONS.precision.col21	LOCATIONS.precision.col22	correlation	LOCATIONS.varCovar.LOCATIONS.precision.col11	LOCATIONS.varCovar.LOCATIONS.precision.col12	LOCATIONS.varCovar.LOCATIONS.precision.col21	LOCATIONS.varCovar.LOCATIONS.precision.col22	LOCATIONS.diffusionRate	LOCATIONS.lambda	treeLikelihood	branchRates	LOCATIONS.traitLikelihood	coalescent
0	-59988.290186292325	-32.47259449249466	-59955.81759179983	4.157229401059924	4.157229401059924	12.386465366023549	1.0	0.0	1.0	1.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	0.7209231116024221	0.5	-59878.09509278775	0.0	-77.7224990120821	-16.284722779290252
1000	-23443.629528401038	-3.991662689462153	-23439.637865711575	2.5830879419979045	2.5830879419979045	6.465656525544931	0.62146637971897	0.4700857948606836	0.23231088847286654	0.2323108884728666	0.1203654197424762	0.018572803561977384	0.018572803561977384	0.027829298656161305	-0.32090424883346225	9.26181101200199	-6.181176129495733	-6.181176129495732	40.058565032802036	1.0554583176615795	0.27238148325865646	-23367.424874166612	0.0	-72.2129915449639	1.7223802776787094
2000	-18736.361162270103	-5.859330749114587	-18730.50183152099	2.5695485260901116	2.5695485260901116	6.919733578128389	0.8823957855885327	0.6579013958215607	0.0786456355793813	0.0786456355793813	0.11470888281830377	0.023476292257699947	0.023476292257699947	0.04360209016731947	-0.33195355809304167	9.797318176384056	-5.275084381685458	-5.275084381685458	25.774897907779973	1.155953803950958	0.31704740599476067	-18656.7472954552	0.0	-73.75453606578853	-1.375231822729157
3000	-16592.40423015869	-40.039805295970865	-16552.364424862717	2.807159172568271	2.807159172568271	16.249160047712753	2.3466684987459536	0.19365553577853656	0.021814561545921134	0.021814561545921138	0.19586679145534502	0.06031063444396305	0.06031063444396305	0.03997272051448006	-0.6816032287873707	9.535577568726533	-14.387230229956252	-14.38723022995625	46.72444004364059	0.7615744153240889	0.14005433840041565	-16479.507742591362	0.0	-72.85668227135568	-36.66764037637767
4000	-15606.902828360955	-49.747474873339144	-15557.155353487617	3.7074092552588724	3.7074092552588724	23.12446525443874	4.042813801766985	0.07356157627027682	0.011514698698261583	0.011514698698261583	0.1834499191751467	0.054018988996567326	0.054018988996567326	0.04984168218634667	-0.5649257145822487	8.006179684244888	-8.677189719456097	-8.677189719456097	29.46796639979302	0.585698969358075	0.25924825434590126	-15484.473899976201	0.0	-72.68145351141527	-47.33263183414843
5000	-15577.367460561973	-43.59533958606699	-15533.772120975906	3.3882924271858124	3.3882924271858124	22.594851463503478	13.915397477028469	1.0398673820000466	0.01140301150374624	0.011403011503746249	0.10115448401210829	0.009136440170474075	0.009136440170474075	0.04105476623937111	-0.14177597846166887	10.088655514880013	-2.245157041567326	-2.245157041567326	24.857351203352778	0.7588215903475839	0.47180651751319913	-15458.930073663734	0.0	-74.84204731217152	-40.63606813875101
6000	-15573.147826768394	-41.20399457538991	-15531.943832193005	3.326095840907203	3.326095840907203	22.464886979469107	50.36717328583899	1.7571998348401743	0.011658090485319435	0.011658090485319428	0.09605519506234594	0.05208712159012036	0.05208712159012036	0.05106651396490064	-0.7437069212793596	23.295324917141645	-23.76090175794083	-23.76090175794083	43.81808753373601	0.7310824017380053	0.3302691020245691	-15456.743240192245	0.0	-75.2005920007597	-37.332284284109534
7000	-15567.76904980145	-41.127674125792424	-15526.64137567566	3.455205295154388	3.455205295154388	22.919017414484756	59.38749586358321	1.624976050837656	0.011081949227197734	0.011081949227197732	0.10528660030955565	0.01481554556206212	0.01481554556206212	0.04652397038661529	-0.21168628036398518	9.943462080774149	-3.1664927622928976	-3.166492762292897	22.50266495081602	0.6489414438890041	0.3330948033534406	-15452.371136265392	0.0	-74.27023941026624	-36.964101632439274
8000	-15569.94467998125	-42.14126625121028	-15527.80341373004	3.329524354679408	3.329524354679408	23.061192819365534	37.022897941561226	1.569383566442406	0.011328676698136609	0.01132867669813661	0.17510701995298814	0.03209070093972998	0.03209070093972998	0.03867000464302655	-0.3899781840232179	6.735085171413064	-5.589179676460229	-5.58917967646023	30.498074783872024	0.7131924323495867	0.2855079893646471	-15455.193804627013	0.0	-72.60960910302708	-38.02319195645689
9000	-15574.7820232659	-43.47137512107987	-15531.31064814482	3.5947600134967823	3.5947600134967823	23.54586363077322	32.36706028755336	1.5180654402755611	0.010662664879737112	0.010662664879737114	0.2136250222364538	0.0740688978471268	0.0740688978471268	0.04964801901466042	-0.7192152038659725	9.697148533711388	-14.46698414975615	-14.46698414975615	41.724798134092474	0.7415239583774267	0.4560776395784801	-15457.627136330926	0.0	-73.68351181389318	-39.73024569847023
